Player ID,Player Name,Batting Style,Bowling Style,Playing Role,Test Batting Pos,ODI Batting Pos,T20I Batting Pos,Bowling Type
35320,Sachin Ramesh Tendulkar,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,Middle Order,Openers,Openers,Spin
253802,Virat Kohli,Right hand Bat,Right arm Medium,Top order Batter,Middle Order,Top Order,Top Order,Right-arm Pacer
28114,Rahul Sharad Dravid,Right hand Bat,Right arm Offbreak,Top order Batter,Top Order,Top Order,Top Order,Spin
34102,Rohit Gurunath Sharma,Right hand Bat,Right arm Offbreak,Top order Batter,Openers,Openers,Openers,Spin
28779,Sourav Chandidas Ganguly,Left hand Bat,Right arm Medium,Batter,Middle Order,Openers,,Right-arm Pacer
28081,Mahendra Singh Dhoni,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Middle Order,Middle Order,Middle Order,Right-arm Pacer
35263,Virender Sehwag,Right hand Bat,Right arm Offbreak,Top order Batter,Openers,Openers,Openers,Spin
26329,Mohammad Azharuddin,Right hand Bat,Right arm Medium,Middle order Batter,Middle Order,,,Right-arm Pacer
28794,Sunil Manohar Gavaskar,Right hand Bat,"Right arm Medium, Right arm Offbreak",Opening Batter,Openers,Openers,,All-rounder (Pace & Spin)
36084,Yuvraj Singh,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,Middle Order,Middle Order,Middle Order,Spin
30750,Vangipurappu Venkata Sai Laxman,Right hand Bat,Right arm Offbreak,Top order Batter,Middle Order,Top Order,,Spin
28235,Shikhar Dhawan,Left hand Bat,Right arm Offbreak,Opening Batter,Openers,Openers,Openers,Spin
35654,Dilip Balwant Vengsarkar,Right hand Bat,Right arm Medium,Top order Batter,Middle Order,Middle Order,,Right-arm Pacer
28763,Gautam Gambhir,Left hand Bat,Legbreak,Top order Batter,Openers,Openers,Openers,Spin
30028,Kapildev Ramlal Nikhanj,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Middle Order,Middle Order,,Right-arm Pacer
422108,Kannaur Lokesh Rahul,Right hand Bat,,Wicketkeeper Batter,Openers,Middle Order,Openers,Unknown
277916,Ajinkya Madhukar Rahane,Right hand Bat,Right arm Medium,Top order Batter,Middle Order,Openers,Openers,Right-arm Pacer
33335,Suresh Kumar Raina,Left hand Bat,Right arm Offbreak,Middle order Batter,Middle Order,Middle Order,Middle Order,Spin
34028,Navjot Singh Sidhu,Right hand Bat,Right arm Medium,Opening Batter,Openers,Openers,,Right-arm Pacer
32540,Cheteshwar Arvind Pujara,Right hand Bat,Legbreak,Top order Batter,Top Order,Top Order,,Spin
33975,Ravishankar Jayadritha Shastri,Right hand Bat,Slow Left arm Orthodox,Batting Allrounder,Middle Order,Middle Order,,Spin
234675,Ravindrasinh Anirudhsinh Jadeja,Left hand Bat,Slow Left arm Orthodox,Allrounder,Middle Order,Middle Order,Middle Order,Spin
35712,Gundappa Rangnath Viswanath,Right hand Bat,Legbreak,Top order Batter,Middle Order,Middle Order,,Spin
26225,Mohinder Amarnath Bhardwaj,Right hand Bat,Right arm Medium,Batting Allrounder,Top Order,Top Order,,Right-arm Pacer
